"id","name","service_group_id","service_type_id","service_status_id","inserted_at","updated_at"
249,Toeing Service,3,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
250,Ding and dent repair,3,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
251,Tune-up and general repairs,3,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
253,Wash and detailing,3,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
254,Transmission repair and rebuild,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
255,Parts and Accessories,21,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
256,Window tinting,3,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
257,Glass  and door repair,3,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
260,Battery Service,3,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
261,Battery Service,3,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
262,Personnel fitness trainer,4,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
263,Group training class,4,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
265,Animal breeder,1,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
266,Animal training,1,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
267,Pet transportation and delivery,1,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
268,Pet boarding and sitting,1,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
269,Pet equipment,1,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
270,Pet ambulance,1,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
271,Dog walking,1,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
272,Pet boarding and sitting,1,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
274,Animal training,1,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
275,Pet transportation and delivery,1,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
276,Pet food and supplies,1,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
277,Pet food and supplies,1,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
278,Local delicacies,2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
279,Local delicacies,2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
280,Home made delicacies,2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
281,Vegan only,2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
282,Vegan only,2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
283,Vegetarian only,2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
284,Vegetarian only,2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
285,Pescatarian only,2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
286,Pescatarian only,2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
287,Halal only (Non-Vegetarian),2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
288,Halal only (Non-Vegetarian),2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
289,Jhatka only (Non-Vegetarian),2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
290,Jhatka only (Non-Vegetarian),2,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
291,Upholstery repair,3,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
292,Upholstery repair,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
293,Muffler and exhaust repair,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
294,"Lights, electrical and electronics repair",3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
